PLAY ARTIST
"USER: Put on some tracks from the Beatles, please",COMMAND: PLAY ARTIST THE BEATLES,"RESPONSE: Sure thing! Here come the Beatles."""
"USER: I'm in the mood for some classic rock, how about Led Zeppelin?"" AI: ""PLAY ARTIST LED ZEPPELIN","RESPONSE: Rocking with Led Zeppelin!"""
"USER: Play some jazz, like Miles Davis",COMMAND: PLAY ARTIST MILES DAVIS,"RESPONSE: Let's jazz it up with Miles Davis."""
"USER: Could you play something from Taylor Swift's latest album?"" AI: ""PLAY ARTIST TAYLOR SWIFT","RESPONSE: Taylor Swift's latest tunes, coming right up!"""
"USER: I want to listen to some electronic music, like Daft Punk",COMMAND: PLAY ARTIST DAFT PUNK,"RESPONSE: Electronic vibes with Daft Punk!"""
"USER: How about some country music by Johnny Cash?"" AI: ""PLAY ARTIST JOHNNY CASH","RESPONSE: Going country with Johnny Cash!"""
"USER: Play songs by Queen, please",COMMAND: PLAY ARTIST QUEEN,"RESPONSE: Rocking with Queen's hits!"""
"USER: I'm feeling nostalgic, play some 90s hip-hop, like Tupac",COMMAND: PLAY ARTIST TUPAC,"RESPONSE: Nostalgic 90s hip-hop with Tupac!"""
"USER: Can you play some indie rock by Arctic Monkeys?"" AI: ""PLAY ARTIST ARCTIC MONKEYS","RESPONSE: Indie rock vibes from Arctic Monkeys!"""
"USER: Put on some reggae music, like Bob Marley",COMMAND: PLAY ARTIST BOB MARLEY,"RESPONSE: Reggae vibes with Bob Marley!"""
"USER: I need some high-energy music, like the Red Hot Chili Peppers",COMMAND: PLAY ARTIST RED HOT CHILI PEPPERS,"RESPONSE: Get ready for some high-energy tunes with the Red Hot Chili Peppers!"""
"USER: Play some R&B, maybe some Beyonce",COMMAND: PLAY ARTIST BEYONCE,"RESPONSE: Let's groove to some R&B with Beyonce."""
"USER: How about some classical music by Mozart?"" AI: ""PLAY ARTIST MOZART","RESPONSE: Time for some classical elegance with Mozart."""
USER: Play me some alternative rock like Radiohead,COMMAND: PLAY ARTIST RADIOHEAD,"RESPONSE: Enjoying alternative rock with Radiohead!"""
"USER: I'm in the mood for some oldies, like Elvis Presley",COMMAND: PLAY ARTIST ELVIS PRESLEY,"RESPONSE: Traveling back in time with Elvis Presley's classics."""
"USER: Play songs from the '80s, like Michael Jackson",COMMAND: PLAY ARTIST MICHAEL JACKSON,"RESPONSE: Let's dance to '80s hits with Michael Jackson!"""
"USER: Can you play some EDM, like Calvin Harris?"" AI: ""PLAY ARTIST CALVIN HARRIS","RESPONSE: Getting the party started with EDM from Calvin Harris!"""
"USER: Put on some folk music, like Simon & Garfunkel",COMMAND: PLAY ARTIST SIMON & GARFUNKEL,"RESPONSE: Enjoying the soothing sounds of folk with Simon & Garfunkel."""
"USER: Play reggaeton music, like Daddy Yankee",COMMAND: PLAY ARTIST DADDY YANKEE,"RESPONSE: Dancing to reggaeton beats with Daddy Yankee!"""
"USER: How about some pop-rock by Maroon 5?"" AI: ""PLAY ARTIST MAROON 5","RESPONSE: Rocking out with pop-rock from Maroon 5!"""
PLAY SONG
